0.23753,0.00374
0.9646400000000001,-0.03519
0.93635,-0.06325
0.90806,-0.09131
0.87976,-0.11937
0.34911,-0.1245
0.85145,-0.14743
0.82314,-0.17458
0.19006,-0.18282
0.79482,-0.20353
0.4749,-0.20873
0.76649,-0.23159
0.3685,-0.23882
0.73812,-0.25969
0.58721,-0.26716
0.51292,-0.28663
0.70887,-0.28766
0.68286,-0.30761
0.6361,-0.3252
0.67764,-0.34373
0.6745100000000001,-0.38983
0.67321,-0.4358
0.67232,-0.48326
0.67159,-0.53241
0.67097,-0.58327
0.67043,-0.63588
0.66997,-0.69025
0.66957,-0.74641
0.66923,-0.80439
0.66894,-0.8641799999999999
